 ,,,,,,,,,,,,,,,,,,,,,,,,,
"     Mathematics, Grade 12, Gender",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
     Data Table 1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"     Average scale scores for grade 12 mathematics, by gender [GENDER] and jurisdiction: 2000, 1996, 1992, and 1990",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Jurisdiction,Gender,Average scale score,,,,,,,,,,,,,,,,,,,,,,
1990¹,National public,Male,297,,,,,,,,,,,,,,,,,,,,,,
1990¹,National public,Female,291,,,,,,,,,,,,,,,,,,,,,,
1990¹,National private,Male,300,,,,,,,,,,,,,,,,,,,,,,
1990¹,National private,Female,298,,,,,,,,,,,,,,,,,,,,,,
1992¹,National public,Male,299,,,,,,,,,,,,,,,,,,,,,,
1992¹,National public,Female,296,,,,,,,,,,,,,,,,,,,,,,
1992¹,National private,Male,317,,,,,,,,,,,,,,,,,,,,,,
1992¹,National private,Female,312,,,,,,,,,,,,,,,,,,,,,,
1996¹,National public,Male,304,,,,,,,,,,,,,,,,,,,,,,
1996¹,National public,Female,302,,,,,,,,,,,,,,,,,,,,,,
1996¹,National private,Male,316,,,,,,,,,,,,,,,,,,,,,,
1996¹,National private,Female,313,,,,,,,,,,,,,,,,,,,,,,
1996,National public,Male,302,,,,,,,,,,,,,,,,,,,,,,
1996,National public,Female,299,,,,,,,,,,,,,,,,,,,,,,
1996,National private,Male,311,,,,,,,,,,,,,,,,,,,,,,
1996,National private,Female,309,,,,,,,,,,,,,,,,,,,,,,
2000¹,National public,Male,302,,,,,,,,,,,,,,,,,,,,,,
2000¹,National public,Female,298,,,,,,,,,,,,,,,,,,,,,,
2000¹,National private,Male,315,,,,,,,,,,,,,,,,,,,,,,
2000¹,National private,Female,314,,,,,,,,,,,,,,,,,,,,,,
2000,National public,Male,301,,,,,,,,,,,,,,,,,,,,,,
2000,National public,Female,297,,,,,,,,,,,,,,,,,,,,,,
2000,National private,Male,316,,,,,,,,,,,,,,,,,,,,,,
2000,National private,Female,314,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
¹ Accommodations were not permitted for this assessment.,,,,,,,,,,,,,,,,,,,,,,,,,
NOTE: Some apparent differences between estimates may not be statistically significant.,,,,,,,,,,,,,,,,,,,,,,,,,
"SOURCE: U.S. Department of Education, Institute of Education Sciences, National Center for Education Statistics, National Assessment of Educational Progress (NAEP), 1990, 1992, 1996, and 2000 Mathematics Assessments.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
